"Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)"	 Notes	 Notes.1	 Notes.2
"2	Waveform 1	1	140.801344181	140.971488120	22164.900	65290.179"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"2	Spectrogram 1	1	140.801344181	140.971488120	22164.900	65290.179"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"3	Waveform 1	1	435.840350804	436.135888509	28608.200	57216.500"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"3	Spectrogram 1	1	435.840350804	436.135888509	28608.200	57216.500"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"4	Waveform 1	1	610.308703389	610.600352440	26288.700	61340.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"4	Spectrogram 1	1	610.308703389	610.600352440	26288.700	61340.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"5	Waveform 1	1	614.516226877	614.749546117	20103.100	65979.400"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"5	Spectrogram 1	1	614.516226877	614.749546117	20103.100	65979.400"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"6	Waveform 1	1	618.361133377	618.560426895	17010.300	59536.100"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"6	Spectrogram 1	1	618.361133377	618.560426895	17010.300	59536.100"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"7	Waveform 1	1	619.073729225	619.396487508	19587.600	65463.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"7	Spectrogram 1	1	619.073729225	619.396487508	19587.600	65463.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"8	Waveform 1	1	644.388865766	644.536634618	14690.700	48711.300"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"8	Spectrogram 1	1	644.388865766	644.536634618	14690.700	48711.300"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"9	Waveform 1	1	646.072652953	646.208755843	20360.800	51030.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"9	Spectrogram 1	1	646.072652953	646.208755843	20360.800	51030.900"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"10	Waveform 1	1	647.402572471	647.589227864	14433.000	67268.000"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"10	Spectrogram 1	1	647.402572471	647.589227864	14433.000	67268.000"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"11	Waveform 1	1	651.015132048	651.318447061	14175.300	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"11	Spectrogram 1	1	651.015132048	651.318447061	14175.300	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"12	Waveform 1	1	654.647134742	654.857122058	20103.100	53350.500"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"12	Spectrogram 1	1	654.647134742	654.857122058	20103.100	53350.500"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"13	Waveform 1	1	678.787897925	679.098990246	23969.100	57732.000"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"13	Spectrogram 1	1	678.787897925	679.098990246	23969.100	57732.000"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"14	Waveform 1	1	685.966352923	686.219115434	23195.900	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"14	Spectrogram 1	1	685.966352923	686.219115434	23195.900	56958.800"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
"15	Waveform 1	1	687.739578999	687.992341510	23453.600	57474.200"	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt	 20220628_083000.Table.1.selections.txt
