Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz), Notes, Notes, Notes
1	Waveform 1	1	325.453272506	325.615504429	22896.1	73431.0, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
1	Spectrogram 1	1	325.453272506	325.615504429	22896.1	73431.0, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
2	Waveform 1	1	334.252291150	334.475016333	15373.1	63291.3, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
2	Spectrogram 1	1	334.252291150	334.475016333	15373.1	63291.3, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
3	Waveform 1	1	336.166077596	336.419049409	14718.9	83080.1, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
3	Spectrogram 1	1	336.166077596	336.419049409	14718.9	83080.1, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
4	Waveform 1	1	498.353985393	498.573960882	15700.2	62637.1, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
4	Spectrogram 1	1	498.353985393	498.573960882	15700.2	62637.1, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
5	Waveform 1	1	718.246957231	718.411938848	16190.8	69178.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
5	Spectrogram 1	1	718.246957231	718.411938848	16190.8	69178.9, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
6	Waveform 1	1	720.160743678	720.419214878	20279.4	58221.5, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
6	Spectrogram 1	1	720.160743678	720.419214878	20279.4	58221.5, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
7	Waveform 1	1	733.474758932	733.650739324	19952.3	65253.8, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
7	Spectrogram 1	1	733.474758932	733.650739324	19952.3	65253.8, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
8	Waveform 1	1	740.500225191	740.662457115	18971.0	67870.5, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
8	Spectrogram 1	1	740.500225191	740.662457115	18971.0	67870.5, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
9	Waveform 1	1	744.006084243	744.261805750	14555.4	62637.1, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
9	Spectrogram 1	1	744.006084243	744.261805750	14555.4	62637.1, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt, 20220813_050000.Table.1.selections.txt
