Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	15.836542848	16.065973435	20358.3	60871.3
1	Spectrogram 1	1	15.836542848	16.065973435	20358.3	60871.3
2	Waveform 1	1	21.529531772	21.700632548	19144.1	49361.9
2	Spectrogram 1	1	21.529531772	21.700632548	19144.1	49361.9
3	Waveform 1	1	100.850292393	101.204159908	18956.5	56869.4
3	Spectrogram 1	1	100.850292393	101.204159908	18956.5	56869.4
4	Waveform 1	1	102.802396553	103.066825026	17830.3	51238.7
4	Spectrogram 1	1	102.802396553	103.066825026	17830.3	51238.7
5	Waveform 1	1	114.056159964	114.215594779	18581.1	48986.5
5	Spectrogram 1	1	114.056159964	114.215594779	18581.1	48986.5
6	Waveform 1	1	199.730981087	199.991520906	13701.2	63438.4
6	Spectrogram 1	1	199.730981087	199.991520906	13701.2	63438.4
7	Waveform 1	1	212.637423138	212.792969298	13888.9	44857.4
7	Spectrogram 1	1	212.637423138	212.792969298	13888.9	44857.4
8	Waveform 1	1	213.586254716	213.800130687	17267.3	50112.6
8	Spectrogram 1	1	213.586254716	213.800130687	17267.3	50112.6
9	Waveform 1	1	243.175022016	243.385009333	16328.8	51238.7
9	Spectrogram 1	1	243.175022016	243.385009333	16328.8	51238.7
10	Waveform 1	1	240.771833837	240.919602690	17455.0	50863.4
10	Spectrogram 1	1	240.771833837	240.919602690	17455.0	50863.4
11	Waveform 1	1	264.698721050	264.955372215	14639.6	62687.7
11	Spectrogram 1	1	264.698721050	264.955372215	14639.6	62687.7
12	Waveform 1	1	274.634231743	274.797555211	22147.1	56118.6
12	Spectrogram 1	1	274.634231743	274.797555211	22147.1	56118.6
13	Waveform 1	1	387.813499785	388.054596334	15015.0	57244.7
13	Spectrogram 1	1	387.813499785	388.054596334	15015.0	57244.7
14	Waveform 1	1	399.693337330	399.988875035	14264.3	65127.6
14	Spectrogram 1	1	399.693337330	399.988875035	14264.3	65127.6
15	Waveform 1	1	414.081356713	414.493554038	17079.6	60998.5
15	Spectrogram 1	1	414.081356713	414.493554038	17079.6	60998.5
16	Waveform 1	1	584.680490103	584.832147610	12762.8	42605.1
16	Spectrogram 1	1	584.680490103	584.832147610	12762.8	42605.1
17	Waveform 1	1	857.255677582	857.590101827	14452.0	64001.5
17	Spectrogram 1	1	857.255677582	857.590101827	14452.0	64001.5
18	Waveform 1	1	862.482028420	862.800898049	21208.7	53866.4
18	Spectrogram 1	1	862.482028420	862.800898049	21208.7	53866.4
19	Waveform 1	1	948.184069967	948.436832478	15390.4	58746.2
19	Spectrogram 1	1	948.184069967	948.436832478	15390.4	58746.2
20	Waveform 1	1	1032.458976484	1032.696184378	19331.8	55743.2
20	Spectrogram 1	1	1032.458976484	1032.696184378	19331.8	55743.2
21	Waveform 1	1	1029.418049047	1029.686366173	20270.3	53115.6
21	Spectrogram 1	1	1029.418049047	1029.686366173	20270.3	53115.6
22	Waveform 1	1	1136.134376943	1136.243259256	26276.3	41854.4
22	Spectrogram 1	1	1136.134376943	1136.243259256	26276.3	41854.4
23	Waveform 1	1	1232.992967381	1233.117404310	24774.8	38476.0
23	Spectrogram 1	1	1232.992967381	1233.117404310	24774.8	38476.0
24	Waveform 1	1	1234.910073809	1235.038399391	26464.0	38663.7
24	Spectrogram 1	1	1234.910073809	1235.038399391	26464.0	38663.7
25	Waveform 1	1	1242.232409006	1242.360734588	23461.0	40728.2
25	Spectrogram 1	1	1242.232409006	1242.360734588	23461.0	40728.2
26	Waveform 1	1	1302.024349948	1302.137120914	15202.7	54241.7
26	Spectrogram 1	1	1302.024349948	1302.137120914	15202.7	54241.7
27	Waveform 1	1	1350.928059965	1351.223597670	13513.5	55367.9
27	Spectrogram 1	1	1350.928059965	1351.223597670	13513.5	55367.9
28	Waveform 1	1	1509.577357677	1509.779567685	14639.6	51989.5
28	Spectrogram 1	1	1509.577357677	1509.779567685	14639.6	51989.5
29	Waveform 1	1	1655.330987804	1655.595416277	17642.6	59872.4
29	Spectrogram 1	1	1655.330987804	1655.595416277	17642.6	59872.4
30	Waveform 1	1	1664.550985321	1664.827079756	20270.3	56306.3
30	Spectrogram 1	1	1664.550985321	1664.827079756	20270.3	56306.3
31	Waveform 1	1	1706.933422182	1707.252291811	20645.6	58370.9
31	Spectrogram 1	1	1706.933422182	1707.252291811	20645.6	58370.9
32	Waveform 1	1	1710.378769483	1710.499317758	24774.8	38851.4
32	Spectrogram 1	1	1710.378769483	1710.499317758	24774.8	38851.4
33	Waveform 1	1	1708.784421338	1708.901080959	23648.6	37537.5
33	Spectrogram 1	1	1708.784421338	1708.901080959	23648.6	37537.5
34	Waveform 1	1	1764.376616940	1764.637156759	20833.3	53115.6
34	Spectrogram 1	1	1764.376616940	1764.637156759	20833.3	53115.6
35	Waveform 1	1	1787.000805058	1787.308008725	19331.8	61749.2
35	Spectrogram 1	1	1787.000805058	1787.308008725	19331.8	61749.2
