Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	249.282121855	249.433779362	18591.0	68754.6
1	Spectrogram 1	1	249.282121855	249.433779362	18591.0	68754.6
2	Waveform 1	1	255.929774683	256.114485748	13943.2	65869.8
2	Spectrogram 1	1	255.929774683	256.114485748	13943.2	65869.8
3	Waveform 1	1	463.119162501	463.261098372	14584.3	62183.6
3	Spectrogram 1	1	463.119162501	463.261098372	14584.3	62183.6
4	Waveform 1	1	495.531088862	495.717744254	16187.0	64106.8
4	Spectrogram 1	1	495.531088862	495.717744254	16187.0	64106.8
5	Waveform 1	1	600.009482024	600.165028184	16183.3	69918.2
5	Spectrogram 1	1	600.009482024	600.165028184	16183.3	69918.2
6	Waveform 1	1	600.633610992	600.804711768	16340.4	57977.1
6	Spectrogram 1	1	600.633610992	600.804711768	16340.4	57977.1
7	Waveform 1	1	681.525377703	681.723699057	21839.6	62690.7
7	Spectrogram 1	1	681.525377703	681.723699057	21839.6	62690.7
8	Waveform 1	1	682.318663120	682.493652551	19011.5	61276.6
8	Spectrogram 1	1	682.318663120	682.493652551	19011.5	61276.6
9	Waveform 1	1	688.427737367	688.606615452	21054.0	64261.9
9	Spectrogram 1	1	688.427737367	688.606615452	21054.0	64261.9
10	Waveform 1	1	707.734900983	707.855449257	22782.3	65990.2
10	Spectrogram 1	1	707.734900983	707.855449257	22782.3	65990.2
11	Waveform 1	1	715.733861078	715.833021755	18383.0	83116.2
11	Spectrogram 1	1	715.733861078	715.833021755	18383.0	83116.2
12	Waveform 1	1	722.080143520	722.171526889	19954.2	66461.5
12	Spectrogram 1	1	722.080143520	722.171526889	19954.2	66461.5
13	Waveform 1	1	723.392563948	723.602551264	16497.5	68032.7
13	Spectrogram 1	1	723.392563948	723.602551264	16497.5	68032.7
14	Waveform 1	1	739.722964057	739.827957715	19954.2	65361.7
14	Spectrogram 1	1	739.722964057	739.827957715	19954.2	65361.7
15	Waveform 1	1	769.352557937	769.434219671	22782.3	63947.6
15	Spectrogram 1	1	769.352557937	769.434219671	22782.3	63947.6
16	Waveform 1	1	774.814170755	774.907498451	21682.5	65204.6
16	Spectrogram 1	1	774.814170755	774.907498451	21682.5	65204.6
17	Waveform 1	1	863.125488114	863.300477544	17754.5	78088.4
17	Spectrogram 1	1	863.125488114	863.300477544	17754.5	78088.4
