Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	325.453272506	325.615504429	22896.1	73431.0
1	Spectrogram 1	1	325.453272506	325.615504429	22896.1	73431.0
2	Waveform 1	1	334.252291150	334.475016333	15373.1	63291.3
2	Spectrogram 1	1	334.252291150	334.475016333	15373.1	63291.3
3	Waveform 1	1	336.166077596	336.419049409	14718.9	83080.1
3	Spectrogram 1	1	336.166077596	336.419049409	14718.9	83080.1
4	Waveform 1	1	498.353985393	498.573960882	15700.2	62637.1
4	Spectrogram 1	1	498.353985393	498.573960882	15700.2	62637.1
5	Waveform 1	1	718.246957231	718.411938848	16190.8	69178.9
5	Spectrogram 1	1	718.246957231	718.411938848	16190.8	69178.9
6	Waveform 1	1	720.160743678	720.419214878	20279.4	58221.5
6	Spectrogram 1	1	720.160743678	720.419214878	20279.4	58221.5
7	Waveform 1	1	733.474758932	733.650739324	19952.3	65253.8
7	Spectrogram 1	1	733.474758932	733.650739324	19952.3	65253.8
8	Waveform 1	1	740.500225191	740.662457115	18971.0	67870.5
8	Spectrogram 1	1	740.500225191	740.662457115	18971.0	67870.5
9	Waveform 1	1	744.006084243	744.261805750	14555.4	62637.1
9	Spectrogram 1	1	744.006084243	744.261805750	14555.4	62637.1
10	Waveform 1	1	744.896984976	745.075715061	18480.4	61983.0
10	Spectrogram 1	1	744.896984976	745.075715061	18480.4	61983.0
11	Waveform 1	1	781.605387904	781.773119215	22241.9	64763.2
11	Spectrogram 1	1	781.605387904	781.773119215	22241.9	64763.2
12	Waveform 1	1	796.126518345	796.382239851	14555.4	61655.9
12	Spectrogram 1	1	796.126518345	796.382239851	14555.4	61655.9
13	Waveform 1	1	807.763220491	807.933701496	18480.4	71795.6
13	Spectrogram 1	1	807.763220491	807.933701496	18480.4	71795.6
14	Waveform 1	1	808.365403394	808.533134705	18316.9	67543.4
14	Spectrogram 1	1	808.365403394	808.533134705	18316.9	67543.4
15	Waveform 1	1	831.682802785	831.889029806	13083.5	63945.5
15	Spectrogram 1	1	831.682802785	831.889029806	13083.5	63945.5
16	Waveform 1	1	843.588974593	843.759455597	17826.2	67216.4
16	Spectrogram 1	1	843.588974593	843.759455597	17826.2	67216.4
17	Waveform 1	1	860.010143012	860.216370033	19788.8	62800.7
17	Spectrogram 1	1	860.010143012	860.216370033	19788.8	62800.7
18	Waveform 1	1	860.936789761	861.090772604	22078.4	61655.9
18	Spectrogram 1	1	860.936789761	861.090772604	22078.4	61655.9
19	Waveform 1	1	874.594516405	874.775996184	29110.7	59693.4
19	Spectrogram 1	1	874.594516405	874.775996184	29110.7	59693.4
20	Waveform 1	1	927.410625505	927.548110186	23386.7	59039.2
20	Spectrogram 1	1	927.410625505	927.548110186	23386.7	59039.2
21	Waveform 1	1	998.193003653	998.327738640	13410.6	58057.9
21	Spectrogram 1	1	998.193003653	998.327738640	13410.6	58057.9
22	Waveform 1	1	1401.133058570	1401.320037737	13901.2	61655.9
22	Spectrogram 1	1	1401.133058570	1401.320037737	13901.2	61655.9
23	Waveform 1	1	1401.801233807	1402.078952863	14718.9	57403.7
23	Spectrogram 1	1	1401.801233807	1402.078952863	14718.9	57403.7
24	Waveform 1	1	1403.305316217	1403.459299060	18644.0	60674.6
24	Spectrogram 1	1	1403.305316217	1403.459299060	18644.0	60674.6
25	Waveform 1	1	1431.649154606	1431.847132546	20279.4	58875.6
25	Spectrogram 1	1	1431.649154606	1431.847132546	20279.4	58875.6
26	Waveform 1	1	1456.390895291	1456.594372619	22078.4	58385.0
26	Spectrogram 1	1	1456.390895291	1456.594372619	22078.4	58385.0
